Invoice_Date,Customer_Code,Customer_Name,Item_Code,Zone,HQ,Brand,Item_Description,QTY,AMOUNT
2022-05-11,306007,ABP Enterprises,10014153,East,24 Pargana,Previte Alpha D3 Premix,Previte Alpha-D3 Premix (5x5 Kg),500,350000
2022-05-11,306007,ABP Enterprises,10014153,East,24 Pargana,Previte Alpha D3 Premix,Previte Alpha-D3 Premix (5x5 Kg),100,70000
2022-06-11,306121,New Hema Enterprises,10004658,South,Hyderabad ,Enzimix,Enzimix (25 kg),450,76500
2022-06-11,304996,Shree Om Sai Venterinary Sales,10008978,West,Sangli,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),375,31125
2022-06-11,304996,Shree Om Sai Venterinary Sales,10010114,West,Sangli,Kem-O-Cid pHB,Kem-O-Cid pHB (12 x 1L),96,13152
2022-07-11,305003,Shree Brahamani Agency,10014156,West,Anand,Previte Alpha-D3 Conc.,Previte Alpha-D3 (100gm x 10),2,26000
2022-07-11,305003,Shree Brahamani Agency,10014991,West,Anand,Premin,Premin L (25Kg),75,3600
2022-07-11,305003,Shree Brahamani Agency,10014991,West,Anand,Premin,Premin L (25Kg),225,10800
2022-07-11,305091,RA Health Care,10009125,North,Lucknow,Poszyme,Poszyme 5000 CT (5x5 kg),100,25500
2022-07-11,305024,Nmn Ventures,10015938,West,Raipur,Kembio,KemBio Advance (2 x 5Kg),300,247500
2022-07-11,305024,Nmn Ventures,10008978,West,Raipur,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),625,55000
2022-07-11,305024,Nmn Ventures,10008978,West,Raipur,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),375,33000
2022-07-11,305024,Nmn Ventures,10011602,West,Raipur,Kem Vit M,Kem Vit-M ( 25 Kg),4,8000
2022-08-11,304997,Lotus Poultries Pvt. Ltd.,10016091,South,Bangalore,Bromo Grane,Bromograne (12 x 1Kg),24,30101
2022-08-11,305033,Star Products India,10008978,North,Jind,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),500,42500
2022-08-11,305058,Venkateshwara Marketing,10011585,South,Karimnagar,Previte,Previte Special (5 x 5Kg),300,204000
2022-08-11,305058,Venkateshwara Marketing,10011585,South,Karimnagar,Previte,Previte Special (5 x 5Kg),200,136000
2022-08-11,304974,Soozwin & Co,10014153,East,Kolkata,Previte Alpha D3 Premix,Previte Alpha-D3 Premix (5x5 Kg),400,280000
2022-08-11,304974,Soozwin & Co,10014153,East,Kolkata,Previte Alpha D3 Premix,Previte Alpha-D3 Premix (5x5 Kg),100,70000
2022-09-11,304966,Swastik Pharma Agency,10008886,North,Karnal,Previte,Previte-Ind (5x5 Kg),150,72000
2022-09-11,304966,Swastik Pharma Agency,10008886,North,Karnal,Previte,Previte-Ind (5x5 Kg),100,48000
2022-09-11,304966,Swastik Pharma Agency,10012600,North,Karnal,Premin,Premin-O-Se (15 x 1Kg),15,42000
2022-09-11,304978,Ludhiana Feed Mills Pvt Ltd,10010115,North,Ludhiana,Kem-O-Cid pHB,Kem-O-Cid pHB (5L*2),250,32500
2022-09-11,304978,Ludhiana Feed Mills Pvt Ltd,10015568,North,Ludhiana,NDZ Forte,NDZ Forte (5 x 5Kg),50,12500
2022-09-11,304978,Ludhiana Feed Mills Pvt Ltd,10015568,North,Ludhiana,NDZ Forte,NDZ Forte (5 x 5Kg),200,50000
2022-09-11,304978,Ludhiana Feed Mills Pvt Ltd,10011706,North,Ludhiana,Copper Sulphate P,Copper Sulphate A (5 x 5 kg),200,56000
2022-09-11,304978,Ludhiana Feed Mills Pvt Ltd,10011706,North,Ludhiana,Copper Sulphate P,Copper Sulphate A (5 x 5 kg),500,140000
2022-09-11,304978,Ludhiana Feed Mills Pvt Ltd,10011706,North,Ludhiana,Copper Sulphate P,Copper Sulphate A (5 x 5 kg),300,84000
2022-09-11,305022,Real Enterprise,10010104,West,Wakaner,Kembio,Kem Bio + (1kgx10),30,12000
2022-12-11,306121,New Hema Enterprises,10011585,South,Hyderabad ,Previte,Previte Special (5 x 5Kg),50,30000
2022-12-11,306121,New Hema Enterprises,10011585,South,Hyderabad ,Previte,Previte Special (5 x 5Kg),250,150000
2022-12-11,306121,New Hema Enterprises,10011585,South,Hyderabad ,Previte,Previte Special (5 x 5Kg),350,210000
2022-12-11,306121,New Hema Enterprises,10011585,South,Hyderabad ,Previte,Previte Special (5 x 5Kg),350,210000
2022-12-11,306034,Synergy Agro Industries,10009279,West,Indore,Enzimix,Enzimix GT (25kg),75,13275
2022-12-11,306034,Synergy Agro Industries,10009279,West,Indore,Enzimix,Enzimix GT (25kg),125,22125
2022-12-11,306034,Synergy Agro Industries,10015904,West,Indore,Previte,Previte Cust F-2 (5 x 5kg),400,240000
2022-12-11,306034,Synergy Agro Industries,10015904,West,Indore,Previte,Previte Cust F-2 (5 x 5kg),100,60000
2022-04-12,306002,Japp Poultry,10014991,North,Jind,Premin,Premin L (25Kg),125,6625
2022-04-12,306002,Japp Poultry,10011522,North,Jind,Previte Chick Pro,Previte Chick Pro (5L x 2),100,40000
2022-04-12,305013,Vijendra Medical Hall,10012651,North,Jind,Premin -O- Plus,Premin -O- Plus ( 25 Kg),75,16500
2022-04-12,304965,Vinayak Enterprises,10011732,North,Karnal,Kem Sel,Kem Sel E Bio (5 x 5Kg),175,148750
2022-05-12,304998,Noble Layer Farm Pvt. Ltd.,10016091,West,Pune,Bromo Grane,Bromograne (12 x 1Kg),96,92160
2022-05-12,304978,Ludhiana Feed Mills Pvt Ltd,10008978,North,Ludhiana,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),150,12450
2022-05-12,304978,Ludhiana Feed Mills Pvt Ltd,10008978,North,Ludhiana,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),1000,83000
2022-05-12,304978,Ludhiana Feed Mills Pvt Ltd,10008978,North,Ludhiana,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),350,29050
2022-05-12,305024,Nmn Ventures,10014193,West,Raipur,Previte,Previte SP NMN-1 (5kgx5),100,82500
2022-05-12,304996,Shree Om Sai Venterinary Sales,10008978,West,Sangli,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),850,70550
2022-05-12,304996,Shree Om Sai Venterinary Sales,10008978,West,Sangli,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),1000,83000
2022-05-12,304996,Shree Om Sai Venterinary Sales,10016091,West,Sangli,Bromo Grane,Bromograne (12 x 1Kg),36,48600
2022-05-12,304996,Shree Om Sai Venterinary Sales,10016091,West,Sangli,Bromo Grane,Bromograne (12 x 1Kg),12,16200
2022-06-12,305098,Neoline Pharma,10011436,West,Pune,Previte Chick Pro,Previte Chick Pro (1L x 10),40,17600
2022-06-12,305098,Neoline Pharma,10011436,West,Pune,Previte Chick Pro,Previte Chick Pro (1L x 10),210,92400
2022-06-12,305098,Neoline Pharma,10008978,West,Pune,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),500,46500
